03:48:56,IST,CPU,%user,%nice,%system,%iowait,%steal,%idle
03:49:16,IST,all,0.07,0.00,0.04,0.00,0.00,99.88
03:49:36,IST,all,0.05,0.00,0.04,0.00,0.00,99.91
03:49:56,IST,all,0.03,0.00,0.03,0.00,0.00,99.94
03:50:16,IST,all,0.06,0.00,0.03,0.00,0.00,99.91
03:50:36,IST,all,5.81,0.00,0.23,0.01,0.00,93.95
03:50:56,IST,all,31.63,0.00,1.20,0.02,0.00,67.14
03:51:16,IST,all,56.53,0.00,2.03,0.02,0.00,41.43
03:51:36,IST,all,85.77,0.00,2.06,0.02,0.00,12.16
03:51:56,IST,all,98.39,0.00,1.58,0.00,0.00,0.03
03:52:16,IST,all,98.53,0.00,1.47,0.00,0.00,0.00
03:52:36,IST,all,98.69,0.00,1.31,0.00,0.00,0.00
03:52:56,IST,all,98.60,0.00,1.40,0.00,0.00,0.00
03:53:16,IST,all,98.77,0.00,1.23,0.00,0.00,0.00
03:53:36,IST,all,98.74,0.00,1.26,0.00,0.00,0.00
03:53:56,IST,all,98.69,0.00,1.31,0.00,0.00,0.00
03:54:16,IST,all,98.78,0.00,1.22,0.00,0.00,0.00
03:54:36,IST,all,98.81,0.00,1.19,0.00,0.00,0.00
03:54:56,IST,all,98.96,0.00,1.04,0.00,0.00,0.00
03:55:16,IST,all,98.94,0.00,1.06,0.00,0.00,0.00
03:55:36,IST,all,98.92,0.01,1.07,0.00,0.00,0.00
03:55:56,IST,all,98.85,0.00,1.15,0.00,0.00,0.00
03:56:16,IST,all,98.84,0.00,1.16,0.00,0.00,0.00
03:56:36,IST,all,99.12,0.00,0.88,0.00,0.00,0.00
03:56:56,IST,all,99.01,0.00,0.99,0.00,0.00,0.00
03:57:16,IST,all,99.06,0.00,0.94,0.00,0.00,0.00
03:57:36,IST,all,98.79,0.00,1.21,0.00,0.00,0.00
03:57:56,IST,all,98.98,0.00,1.03,0.00,0.00,0.00
03:58:16,IST,all,98.98,0.00,1.02,0.00,0.00,0.00
03:58:36,IST,all,99.02,0.00,0.97,0.00,0.00,0.00
03:58:56,IST,all,99.04,0.00,0.96,0.00,0.00,0.00
03:59:16,IST,all,98.91,0.00,1.09,0.00,0.00,0.00
03:59:36,IST,all,98.88,0.00,1.12,0.00,0.00,0.00
03:59:56,IST,all,99.01,0.00,0.99,0.00,0.00,0.00
04:00:16,IST,all,98.98,0.00,1.03,0.00,0.00,0.00
04:00:36,IST,all,98.94,0.01,1.06,0.00,0.00,0.00
04:00:56,IST,all,98.92,0.00,1.08,0.00,0.00,0.00
04:01:16,IST,all,98.91,0.00,1.09,0.00,0.00,0.00
04:01:36,IST,all,98.87,0.00,1.13,0.00,0.00,0.00
04:01:56,IST,all,99.00,0.00,1.00,0.00,0.00,0.00
04:02:16,IST,all,98.96,0.00,1.04,0.00,0.00,0.00
04:02:36,IST,all,99.06,0.00,0.94,0.00,0.00,0.00
04:02:56,IST,all,98.88,0.00,1.12,0.00,0.00,0.00
04:03:16,IST,all,99.04,0.00,0.96,0.00,0.00,0.00
04:03:36,IST,all,98.89,0.00,1.11,0.00,0.00,0.00
04:03:56,IST,all,99.03,0.00,0.97,0.00,0.00,0.00
04:04:16,IST,all,99.09,0.00,0.91,0.00,0.00,0.00
04:04:36,IST,all,99.02,0.00,0.98,0.00,0.00,0.00
04:04:56,IST,all,98.94,0.00,1.06,0.00,0.00,0.00
04:05:16,IST,all,98.99,0.00,1.01,0.00,0.00,0.00
04:05:36,IST,all,93.21,0.00,0.88,0.00,0.00,5.91
04:05:56,IST,all,0.56,0.00,0.14,0.06,0.00,99.24
04:06:16,IST,all,0.14,0.00,0.12,0.01,0.00,99.73
04:06:36,IST,all,0.09,0.00,0.11,0.00,0.00,99.81
04:06:56,IST,all,0.10,0.00,0.11,0.00,0.00,99.79
