03:27:24,IST,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
03:27:44,IST,2106720,14326088,87.18,493608,11255600,5281372,15.9,6703444,6653436,24
03:28:04,IST,2106892,14325916,87.18,493608,11255600,5280220,15.9,6702964,6653424,0
03:28:24,IST,2028024,14404784,87.66,493612,11225736,5478040,16.5,6796436,6637044,616
03:28:44,IST,1461540,14971268,91.11,493612,11226404,6362128,19.16,7347904,6637072,1644
03:29:04,IST,969532,15463276,94.1,493612,11227260,7141460,21.5,7821888,6637300,2252
03:29:24,IST,849560,15583248,94.83,493612,11231860,7267344,21.88,7936380,6641780,2332
03:29:44,IST,738600,15694208,95.51,493612,11232332,7350168,22.13,8046452,6642108,2700
03:30:04,IST,641704,15791104,96.09,493612,11232784,7445868,22.42,8141528,6642436,2408
03:30:24,IST,575000,15857808,96.5,493612,11233416,7518284,22.64,8207820,6642740,2800
03:30:44,IST,549032,15883776,96.66,493612,11233904,7529104,22.67,8232776,6643164,2588
03:31:04,IST,514344,15918464,96.87,493612,11234456,7561384,22.77,8275148,6635556,2464
03:31:24,IST,472680,15960128,97.12,493612,11234968,7617076,22.94,8317872,6635580,2796
03:31:44,IST,431912,16000896,97.37,493612,11235520,7646692,23.03,8366948,6625956,2460
03:32:04,IST,403792,16029016,97.54,493612,11236084,7675672,23.11,8402972,6618472,2812
03:32:24,IST,370404,16062404,97.75,493612,11236456,7725228,23.26,8439352,6614456,2408
03:32:44,IST,321736,16111072,98.04,493612,11237004,7743136,23.32,8490928,6611192,2800
03:33:04,IST,280464,16152344,98.29,493612,11237448,7777504,23.42,8531496,6611516,2540
03:33:24,IST,269260,16163548,98.36,493612,11237888,7786052,23.44,8542016,6611800,2292
03:33:44,IST,267084,16165724,98.37,493612,11238316,7796944,23.48,8543456,6612024,2624
03:34:04,IST,249808,16183000,98.48,493612,11238812,7807444,23.51,8560260,6612404,2396
03:34:24,IST,231136,16201672,98.59,493612,11239204,7811412,23.52,8579464,6611896,2588
03:34:44,IST,227024,16205784,98.62,493612,11239760,7817884,23.54,8586412,6608224,2488
03:35:04,IST,220076,16212732,98.66,493612,11240188,7815952,23.53,8596256,6606292,2696
03:35:24,IST,199328,16233480,98.79,493612,11240648,7835668,23.59,8615548,6606624,2572
03:35:44,IST,195848,16236960,98.81,493612,11241068,7844684,23.62,8618592,6606928,2248
03:36:04,IST,188568,16244240,98.85,493612,11241532,7843260,23.62,8624832,6607276,2612
03:36:24,IST,186100,16246708,98.87,493612,11242100,7838572,23.6,8628132,6607120,2620
03:36:44,IST,184560,16248248,98.88,493612,11242484,7835084,23.59,8631104,6606048,2784
03:37:04,IST,180000,16252808,98.9,493612,11243040,7844008,23.62,8635260,6606396,2708
03:37:24,IST,178028,16254780,98.92,493612,11243464,7847780,23.63,8637360,6606508,2520
03:37:44,IST,171644,16261164,98.96,493612,11243976,7842592,23.62,8644036,6606864,2820
03:38:04,IST,167548,16265260,98.98,493612,11244376,7834332,23.59,8648836,6606116,12228
03:38:24,IST,164672,16268136,99,493612,11244748,7848488,23.63,8652928,6605448,12632
03:38:44,IST,163060,16269748,99.01,493612,11245292,7836384,23.6,8653380,6605748,2996
03:39:04,IST,158020,16274788,99.04,493612,11245724,7858956,23.66,8659488,6605784,2596
03:39:24,IST,149404,16283404,99.09,493612,11246196,7873768,23.71,8668456,6605448,2924
03:39:44,IST,138096,16294712,99.16,493612,11246540,7871736,23.7,8678072,6605812,2500
03:40:04,IST,140016,16292792,99.15,493620,11247028,7873048,23.71,8677744,6606144,2304
03:40:24,IST,143472,16289336,99.13,493624,11247528,7864416,23.68,8673112,6606520,2704
03:40:44,IST,134788,16298020,99.18,493628,11247984,7862064,23.67,8681200,6606096,2480
03:41:04,IST,131708,16301100,99.2,493628,11248340,7864460,23.68,8684008,6606424,2732
03:41:24,IST,131508,16301300,99.2,493632,11252904,7848980,23.63,8684944,6610584,2624
03:41:44,IST,125360,16307448,99.24,493632,11253276,7852932,23.65,8687256,6610916,2936
03:42:04,IST,120864,16311944,99.26,493636,11253688,7858452,23.66,8691456,6611136,2724
03:42:24,IST,116776,16316032,99.29,493636,11254068,7856416,23.66,8695556,6610716,2180
03:42:44,IST,114784,16318024,99.3,493636,11254540,7847224,23.63,8696492,6610852,2856
03:43:04,IST,111552,16321256,99.32,493636,11250320,7870472,23.7,8701924,6608120,2476
03:43:24,IST,608304,15824504,96.3,493636,11250644,7186648,21.64,8214424,6607416,2468
03:43:44,IST,1426956,15005852,91.32,493636,11250648,6070808,18.28,7414108,6606768,544
03:44:04,IST,2003232,14429576,87.81,493636,11250648,5294296,15.94,6851504,6606764,80
03:44:24,IST,2003820,14428988,87.81,493636,11250648,5292356,15.94,6851172,6606764,36
03:44:44,IST,2004284,14428524,87.8,493636,11250648,5297404,15.95,6851172,6606764,28
03:45:04,IST,2004192,14428616,87.8,493636,11250648,5295948,15.95,6851144,6606764,44
03:45:24,IST,2005220,14427588,87.8,493640,11250652,5292820,15.94,6850660,6606764,64
