Linux,4.2.0-27-generic,(bitnami-virtual-machine),Tuesday,2,August,2016,_x86_64_,(8,CPU),
,,,,,,,,,,
03:27:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:27:44,IST,eth0,0.05,0,0,0,0,0,0,0
03:27:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:27:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:28:04,IST,eth0,0,0,0,0,0,0,0,0
03:28:04,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:28:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:28:24,IST,eth0,21.1,78.2,2.72,167.7,0,0,0,0.14
03:28:24,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:28:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:28:44,IST,eth0,55.95,190.8,7.77,396.36,0,0,0,0.32
03:28:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:28:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:29:04,IST,eth0,81.8,263.35,11.66,540.21,0,0,0,0.44
03:29:04,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:29:04,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:29:24,IST,eth0,74.65,227.3,11.07,454.18,0,0,0,0.37
03:29:24,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:29:24,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:29:44,IST,eth0,86.55,294.05,13.15,593.66,0,0,0,0.49
03:29:44,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
03:29:44,IST,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
03:30:04,IST,eth0,93.6,311.55,14,627.04,0,0,0,0.51
03:30:04,IST,lo,0,0,0,0,0,0,0,0
,,,,,,,,,,
