TIME,IST,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
03:37:42,IST,4005104,12427704,75.63,488212,9290360,5289240,15.93,5713620,5775720,0
03:38:02,IST,4008404,12424404,75.61,488212,9290360,5285852,15.92,5712812,5773288,100
03:38:22,IST,4007892,12424916,75.61,488212,9290360,5291208,15.93,5712856,5773288,48
03:38:42,IST,3715632,12717176,77.39,488212,9291008,5798312,17.46,5998020,5772604,1660
03:39:02,IST,3088232,13344576,81.21,488236,9292432,6758756,20.35,6606784,5773188,3388
03:39:22,IST,2338776,14094032,85.77,488268,9298368,7811488,23.52,7332704,5777100,3084
03:39:42,IST,1730664,14702144,89.47,488320,9300164,8726252,26.28,7927748,5775180,6244
03:40:02,IST,1191584,15241224,92.75,488372,9301924,9555640,28.77,8447244,5775396,4836
03:40:22,IST,940088,15492720,94.28,488400,9303760,9804284,29.52,8695708,5774408,7436
03:40:42,IST,778688,15654120,95.26,488440,9305520,9960612,29.99,8859500,5771568,6588
03:41:02,IST,620332,15812476,96.23,488468,9307112,10121080,30.48,9018588,5768588,5248
03:41:22,IST,509204,15923604,96.9,488512,9308524,10212684,30.75,9130896,5765436,7020
03:41:42,IST,389284,16043524,97.63,488544,9309804,10332212,31.11,9250488,5765432,5752
03:42:02,IST,362272,16070536,97.8,488576,9311264,10360788,31.2,9270920,5766260,4308
03:42:22,IST,272012,16160796,98.34,488608,9316892,10449984,31.47,9363964,5770244,6804
03:42:42,IST,243192,16189616,98.52,488656,9318692,10467988,31.52,9391980,5770816,6296
03:43:02,IST,225816,16206992,98.63,488696,9320224,10493524,31.6,9410256,5770012,5016
03:43:22,IST,210192,16222616,98.72,488752,9321548,10501984,31.62,9424288,5770788,7140
03:43:42,IST,174868,16257940,98.94,488784,9322816,10550744,31.77,9461528,5770572,5512
03:44:02,IST,164372,16268436,99,488804,9324144,10555168,31.78,9471620,5769564,3856
03:44:22,IST,145820,16286988,99.11,488836,9325500,10578236,31.85,9490564,5768352,6332
03:44:42,IST,136268,16296540,99.17,488872,9327052,10597128,31.91,9499660,5768788,5676
03:45:02,IST,128424,16304384,99.22,488908,9330928,10591812,31.89,9489404,5786732,3136
03:45:22,IST,126796,16306012,99.23,488936,9326444,10615916,31.97,9486140,5789292,6180
03:45:42,IST,124840,16307968,99.24,488988,9324756,10612148,31.95,9486724,5789828,5080
03:46:02,IST,120016,16312792,99.27,489020,9322572,10616512,31.97,9491236,5790540,7152
03:46:22,IST,121800,16311008,99.26,489040,9319680,10608580,31.94,9490032,5790216,6480
03:46:42,IST,118100,16314708,99.28,489092,9319360,10611072,31.95,9492772,5790264,6120
03:47:02,IST,111496,16321312,99.32,489128,9318244,10620096,31.98,9497916,5790976,8280
03:47:22,IST,116440,16316368,99.29,489168,9314440,10622344,31.99,9492944,5791292,6600
03:47:42,IST,108872,16323936,99.34,489204,9312964,10634756,32.02,9502252,5789120,4932
03:48:02,IST,115356,16317452,99.3,489224,9308588,10630060,32.01,9495272,5789332,7448
03:48:22,IST,109396,16323412,99.33,489272,9301752,10650348,32.07,9501808,5789152,5876
03:48:42,IST,110644,16322164,99.33,489296,9295992,10661172,32.1,9498880,5789768,7692
03:49:02,IST,108228,16324580,99.34,489340,9293004,10659084,32.1,9497688,5792524,6828
03:49:22,IST,107444,16325364,99.35,489372,9289620,10668408,32.12,9497464,5793892,5436
03:49:42,IST,113728,16319080,99.31,489400,9282568,10656596,32.09,9495604,5791524,7180
03:50:02,IST,111168,16321640,99.32,489436,9282728,10666952,32.12,9497224,5791300,6476
03:50:22,IST,113864,16318944,99.31,489472,9279976,10659132,32.1,9492360,5792312,5340
03:50:42,IST,112596,16320212,99.31,489492,9271996,10678412,32.15,9501796,5785704,7136
03:51:02,IST,119328,16313480,99.27,489540,9271736,10673248,32.14,9491752,5786628,6492
03:51:22,IST,110196,16322612,99.33,489568,9268728,10680880,32.16,9499844,5787292,5400
03:51:42,IST,103000,16329808,99.37,489600,9270888,10684140,32.17,9502020,5792096,7096
03:52:02,IST,119468,16313340,99.27,489628,9263792,10678092,32.15,9486248,5791424,6288
03:52:22,IST,115548,16317260,99.3,489656,9265040,10671964,32.13,9490708,5791584,4892
03:52:42,IST,111680,16321128,99.32,489692,9262432,10679792,32.16,9492084,5792640,6980
03:53:02,IST,122304,16310504,99.26,489724,9252852,10678260,32.15,9491064,5784420,6172
03:53:22,IST,121484,16311324,99.26,489748,9253808,10675328,32.14,9490484,5784452,5204
03:53:42,IST,937740,15495068,94.29,489748,9254048,9543296,28.74,8700208,5776400,3944
03:54:02,IST,1739272,14693536,89.42,489748,9254048,8443152,25.42,7916452,5776396,492
03:54:22,IST,2539968,13892840,84.54,489748,9254048,7346268,22.12,7162196,5748364,28
03:54:42,IST,3341420,13091388,79.67,489748,9254048,6247656,18.81,6380012,5748364,0
03:55:02,IST,4025800,12407008,75.5,489748,9254048,5303144,15.97,5714988,5744264,32
03:55:22,IST,4026092,12406716,75.5,489748,9254052,5299880,15.96,5714504,5744264,24
