TIME,IST,CPU,%user,%nice,%system,%iowait,%steal,%idle
03:37:42,IST,all,0.04,0,0.03,0,0,99.94
03:38:02,IST,all,0.12,0,0.06,0,0,99.82
03:38:22,IST,all,0.32,0,0.05,0,0,99.63
03:38:42,IST,all,23.31,0,0.95,0.03,0,75.71
03:39:02,IST,all,62.87,0,2.45,0.04,0,34.64
03:39:22,IST,all,90.25,0,2.7,0.03,0,7.02
03:39:42,IST,all,97.54,0,2.44,0,0,0.02
03:40:02,IST,all,97.69,0,2.3,0,0,0.01
03:40:22,IST,all,97.78,0,2.22,0,0,0.01
03:40:42,IST,all,97.92,0,2.08,0,0,0
03:41:02,IST,all,98.02,0,1.98,0,0,0
03:41:22,IST,all,98.12,0,1.88,0,0,0
03:41:42,IST,all,98.04,0,1.96,0,0,0
03:42:02,IST,all,98.02,0,1.97,0,0,0.01
03:42:22,IST,all,97.94,0,2.06,0,0,0
03:42:42,IST,all,97.79,0,2.21,0,0,0
03:43:02,IST,all,98.04,0,1.96,0,0,0
03:43:22,IST,all,98.08,0,1.92,0,0,0
03:43:42,IST,all,98.24,0,1.76,0,0,0
03:44:02,IST,all,98,0,2,0,0,0
03:44:22,IST,all,98.12,0,1.88,0,0,0
03:44:42,IST,all,98.03,0,1.97,0,0,0
03:45:02,IST,all,98.19,0,1.81,0,0,0
03:45:22,IST,all,98.23,0,1.76,0,0,0.01
03:45:42,IST,all,98.19,0,1.81,0,0,0
03:46:02,IST,all,98.11,0,1.88,0,0,0.01
03:46:22,IST,all,98.19,0,1.81,0,0,0
03:46:42,IST,all,98.05,0,1.95,0,0,0
03:47:02,IST,all,98.06,0,1.94,0,0,0
03:47:22,IST,all,98.03,0,1.97,0,0,0
03:47:42,IST,all,98.1,0,1.9,0,0,0
03:48:02,IST,all,98.12,0,1.88,0,0,0
03:48:22,IST,all,98.07,0,1.93,0,0,0
03:48:42,IST,all,98.11,0,1.89,0,0,0
03:49:02,IST,all,98.17,0,1.83,0,0,0
03:49:22,IST,all,98.07,0,1.93,0,0,0
03:49:42,IST,all,98.07,0,1.93,0,0,0
03:50:02,IST,all,98.13,0,1.87,0,0,0
03:50:22,IST,all,98.19,0,1.81,0,0,0
03:50:42,IST,all,98.31,0,1.69,0,0,0
03:51:02,IST,all,98.15,0,1.85,0,0,0
03:51:22,IST,all,98.17,0,1.83,0,0,0
03:51:42,IST,all,98.25,0,1.75,0,0,0
03:52:02,IST,all,98.27,0,1.73,0,0,0
03:52:22,IST,all,98.26,0,1.74,0,0,0
03:52:42,IST,all,98.42,0,1.58,0,0,0
03:53:02,IST,all,98.32,0,1.68,0,0,0
03:53:22,IST,all,98.34,0,1.66,0,0,0
03:53:42,IST,all,12.49,0,0.34,0.04,0,87.13
03:54:02,IST,all,0.17,0,0.09,0,0,99.74
03:54:22,IST,all,0.09,0,0.11,0,0,99.81
03:54:42,IST,all,0.09,0,0.11,0,0,99.8
03:55:02,IST,all,0.15,0,0.09,0,0,99.76
03:55:22,IST,all,0.04,0,0.03,0,0,99.93
