03:19:52,IST,CPU,%user,%nice,%system,%iowait,%steal,%idle
03:20:12,IST,all,0.09,0.00,0.03,0.00,0.00,99.88
03:20:32,IST,all,0.02,0.00,0.03,0.00,0.00,99.96
03:20:52,IST,all,3.85,0.00,0.17,0.00,0.00,95.98
03:21:12,IST,all,95.15,0.00,3.31,0.00,0.00,1.54
03:21:32,IST,all,97.61,0.00,2.39,0.00,0.00,0.01
03:21:52,IST,all,97.45,0.00,2.55,0.00,0.00,0.00
03:22:12,IST,all,97.34,0.00,2.66,0.00,0.00,0.00
03:22:32,IST,all,98.16,0.00,1.83,0.00,0.00,0.01
03:22:52,IST,all,98.11,0.00,1.89,0.00,0.00,0.01
03:23:12,IST,all,98.18,0.00,1.82,0.00,0.00,0.00
03:23:32,IST,all,97.72,0.00,2.28,0.00,0.00,0.00
03:23:52,IST,all,97.80,0.00,2.20,0.00,0.00,0.00
03:24:12,IST,all,97.74,0.00,2.26,0.00,0.00,0.00
03:24:32,IST,all,98.11,0.00,1.89,0.00,0.00,0.00
03:24:52,IST,all,98.01,0.00,1.99,0.00,0.00,0.00
03:25:12,IST,all,97.86,0.00,2.14,0.00,0.00,0.00
03:25:32,IST,all,98.16,0.00,1.84,0.00,0.00,0.00
03:25:52,IST,all,98.09,0.00,1.91,0.00,0.00,0.00
03:26:12,IST,all,98.17,0.00,1.83,0.00,0.00,0.00
03:26:32,IST,all,98.02,0.00,1.98,0.00,0.00,0.00
03:26:52,IST,all,98.22,0.00,1.78,0.00,0.00,0.00
03:27:12,IST,all,98.03,0.00,1.96,0.00,0.00,0.01
03:27:32,IST,all,98.18,0.00,1.82,0.00,0.00,0.00
03:27:52,IST,all,98.31,0.00,1.69,0.00,0.00,0.00
03:28:12,IST,all,98.25,0.00,1.75,0.00,0.00,0.00
03:28:32,IST,all,98.37,0.00,1.63,0.00,0.00,0.00
03:28:52,IST,all,98.04,0.00,1.96,0.00,0.00,0.00
03:29:12,IST,all,98.16,0.01,1.84,0.00,0.00,0.00
03:29:32,IST,all,98.11,0.00,1.89,0.00,0.00,0.00
03:29:52,IST,all,98.34,0.00,1.66,0.00,0.00,0.00
03:30:12,IST,all,98.11,0.00,1.89,0.00,0.00,0.00
03:30:32,IST,all,98.21,0.00,1.79,0.00,0.00,0.00
03:30:52,IST,all,98.10,0.00,1.90,0.00,0.00,0.00
03:31:12,IST,all,98.39,0.00,1.61,0.00,0.00,0.00
03:31:32,IST,all,98.24,0.00,1.76,0.00,0.00,0.00
03:31:52,IST,all,98.06,0.00,1.94,0.00,0.00,0.00
03:32:12,IST,all,98.22,0.00,1.78,0.00,0.00,0.00
03:32:32,IST,all,98.13,0.00,1.87,0.00,0.00,0.00
03:32:52,IST,all,98.17,0.00,1.83,0.00,0.00,0.00
03:33:12,IST,all,97.92,0.00,2.08,0.00,0.00,0.00
03:33:32,IST,all,98.00,0.00,2.00,0.00,0.00,0.00
03:33:52,IST,all,98.08,0.00,1.92,0.00,0.00,0.00
03:34:12,IST,all,98.02,0.00,1.97,0.00,0.00,0.01
03:34:32,IST,all,98.06,0.00,1.94,0.00,0.00,0.00
03:34:52,IST,all,98.04,0.00,1.96,0.00,0.00,0.00
03:35:12,IST,all,98.12,0.00,1.88,0.00,0.00,0.00
03:35:32,IST,all,98.16,0.00,1.84,0.00,0.00,0.00
03:35:52,IST,all,98.00,0.00,2.00,0.00,0.00,0.00
03:36:12,IST,all,3.40,0.00,0.22,0.01,0.00,96.36
03:36:32,IST,all,0.09,0.00,0.08,0.00,0.00,99.83
03:36:52,IST,all,0.08,0.00,0.09,0.00,0.00,99.82
03:37:12,IST,all,0.13,0.00,0.10,0.00,0.00,99.77
03:37:32,IST,all,0.06,0.00,0.08,0.00,0.00,99.86
03:37:52,IST,all,0.02,0.00,0.04,0.00,0.00,99.94
