03:19:52,IST,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
03:20:12,IST,2103580,14329228,87.20,493628,11265776,5312500,16.00,6707556,6650160,12
03:20:32,IST,2103704,14329104,87.20,493628,11265776,5310620,15.99,6707576,6650148,40
03:20:52,IST,2024048,14408760,87.68,493628,11265880,5424864,16.34,6787956,6650148,240
03:21:12,IST,106996,16325812,99.35,493628,10803056,9533884,28.71,8764624,6507188,3740
03:21:32,IST,93040,16339768,99.43,493680,10755344,9397112,28.30,8805208,6486568,5160
03:21:52,IST,90952,16341856,99.45,493732,10254920,9903220,29.82,8968484,6336128,8868
03:22:12,IST,103136,16329672,99.37,493780,9945580,10193408,30.69,9057688,6236548,8052
03:22:32,IST,101888,16330920,99.38,493828,9811772,10311948,31.05,9103932,6193204,5192
03:22:52,IST,89580,16343228,99.45,493856,9623636,10481480,31.56,9203032,6110912,6908
03:23:12,IST,103676,16329132,99.37,493892,9484224,10618392,31.97,9259848,6042848,5212
03:23:32,IST,109520,16323288,99.33,493936,9416212,10644656,32.05,9282948,6010224,7412
03:23:52,IST,94400,16338408,99.43,493984,9377604,10691448,32.19,9313520,5996256,7620
03:24:12,IST,105532,16327276,99.36,492020,9363076,10662336,32.11,9314004,5986524,6436
03:24:32,IST,117720,16315088,99.28,492060,9346148,10664332,32.11,9313144,5976200,7420
03:24:52,IST,96032,16336776,99.42,490636,9339808,10690908,32.19,9331560,5976276,6064
03:25:12,IST,137236,16295572,99.16,487092,9282036,10728924,32.31,9322224,5943672,11516
03:25:32,IST,117860,16314948,99.28,487140,9283904,10745856,32.36,9341680,5943524,13128
03:25:52,IST,101920,16330888,99.38,487176,9285740,10766328,32.42,9356664,5943912,7156
03:26:12,IST,97416,16335392,99.41,487204,9275772,10774076,32.44,9363160,5942876,5468
03:26:32,IST,96224,16336584,99.41,487240,9256128,10795488,32.51,9374624,5934848,7560
03:26:52,IST,102072,16330736,99.38,487280,9233084,10817128,32.57,9377572,5924372,6204
03:27:12,IST,103356,16329452,99.37,487304,9229768,10812660,32.56,9376844,5923308,5748
03:27:32,IST,99364,16333444,99.40,487344,9227376,10812724,32.56,9376764,5925740,7280
03:27:52,IST,97732,16335076,99.41,487376,9226480,10825336,32.60,9380608,5924124,6264
03:28:12,IST,116960,16315848,99.29,487408,9227024,10785188,32.48,9366504,5922284,5556
03:28:32,IST,104496,16328312,99.36,487444,9228348,10790604,32.49,9379712,5920968,7096
03:28:52,IST,101988,16330820,99.38,487480,9227844,10793008,32.50,9379436,5921660,6252
03:29:12,IST,109752,16323056,99.33,487520,9218308,10801472,32.52,9379548,5914252,5336
03:29:32,IST,107648,16325160,99.34,487548,9219824,10787528,32.48,9381736,5914880,7072
03:29:52,IST,106048,16326760,99.35,487576,9221240,10808876,32.55,9384552,5915184,6592
03:30:12,IST,99804,16333004,99.39,487604,9221504,10807112,32.54,9384672,5919160,5484
03:30:32,IST,103624,16329184,99.37,487640,9219700,10795280,32.51,9380572,5919780,7432
03:30:52,IST,106656,16326152,99.35,487684,9221236,10792036,32.50,9378944,5918348,6268
03:31:12,IST,109288,16323520,99.33,487716,9213940,10796292,32.51,9383508,5915808,5360
03:31:32,IST,110628,16322180,99.33,487736,9215392,10776680,32.45,9381460,5912748,7104
03:31:52,IST,108676,16324132,99.34,487784,9216980,10782488,32.47,9382072,5913080,6712
03:32:12,IST,119552,16313256,99.27,487820,9209600,10787604,32.48,9383112,5907044,5328
03:32:32,IST,120908,16311900,99.26,487860,9207076,10798904,32.52,9387536,5904272,7484
03:32:52,IST,109508,16323300,99.33,487892,9208420,10789344,32.49,9390548,5904732,6480
03:33:12,IST,97904,16334904,99.40,487940,9206760,10801224,32.52,9403640,5905304,5472
03:33:32,IST,98476,16334332,99.40,487956,9209820,10804624,32.53,9396796,5911292,7020
03:33:52,IST,110604,16322204,99.33,487988,9197800,10803800,32.53,9395016,5905640,6844
03:34:12,IST,113656,16319152,99.31,488040,9199272,10795504,32.51,9386816,5906340,5500
03:34:32,IST,107152,16325656,99.35,488072,9200688,10805404,32.54,9391624,5905856,7168
03:34:52,IST,106784,16326024,99.35,488104,9195632,10818868,32.58,9401208,5904580,6464
03:35:12,IST,105508,16327300,99.36,488124,9185664,10844404,32.65,9405068,5898152,5124
03:35:32,IST,106228,16326580,99.35,488180,9187164,10830156,32.61,9401864,5898208,7492
03:35:52,IST,196704,16236104,98.80,488216,9188640,10698556,32.21,9316540,5893944,6748
03:36:12,IST,1002412,15430396,93.90,488216,9188792,9582044,28.85,8564476,5858432,2032
03:36:32,IST,1809164,14623644,88.99,488216,9188792,8464592,25.49,7790408,5844656,672
03:36:52,IST,2610032,13822776,84.12,488216,9188792,7366536,22.18,7046792,5805644,32
03:37:12,IST,3411940,13020868,79.24,488216,9188792,6262248,18.86,6302752,5764604,36
03:37:32,IST,4093944,12338864,75.09,488216,9188792,5324032,16.03,5652340,5750220,32
03:37:52,IST,4095148,12337660,75.08,488216,9188796,5322516,16.03,5651332,5750220,40
