03:37:06,IST,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
03:37:26,IST,4018796,12414012,75.54,487104,9280224,5317484,16.01,5712612,5767308,60
03:37:46,IST,4018920,12413888,75.54,487104,9280224,5320736,16.02,5712628,5767296,36
03:38:06,IST,4020716,12412092,75.53,487104,9280224,5319644,16.02,5714088,5761744,100
03:38:26,IST,4020472,12412336,75.53,487104,9280224,5318128,16.01,5717980,5759876,136
03:38:46,IST,3652060,12780748,77.78,487116,9284788,5919656,17.82,6071384,5764248,1620
03:39:06,IST,3132840,13299968,80.94,487132,9285452,6744812,20.31,6575544,5764524,1368
03:39:26,IST,2506048,13926760,84.75,487136,9287116,7672940,23.10,7182056,5765416,3348
03:39:46,IST,1988160,14444648,87.90,487144,9287844,8491384,25.57,7684216,5765448,2648
03:40:06,IST,1433852,14998956,91.27,487156,9288308,9327252,28.09,8223060,5765688,1728
03:40:26,IST,1218980,15213828,92.58,487164,9288948,9564800,28.80,8433960,5765564,3596
03:40:46,IST,1100872,15331936,93.30,487180,9289352,9694612,29.19,8553800,5763320,2564
03:41:06,IST,982048,15450760,94.02,487200,9289704,9808348,29.53,8670432,5762908,3604
03:41:26,IST,901952,15530856,94.51,487204,9290152,9908884,29.84,8750396,5761772,3072
03:41:46,IST,863212,15569596,94.75,487216,9298792,9922012,29.88,8786504,5764052,1840
03:42:06,IST,804360,15628448,95.11,487216,9299244,9978236,30.05,8848224,5761576,3184
03:42:26,IST,722904,15709904,95.60,487220,9300616,10049976,30.26,8931788,5759688,2660
03:42:46,IST,633620,15799188,96.14,487236,9301216,10156084,30.58,9020780,5758468,3832
03:43:06,IST,546688,15886120,96.67,487248,9301420,10246784,30.85,9107388,5757692,2864
03:43:26,IST,481532,15951276,97.07,487252,9301952,10308480,31.04,9172864,5756064,2428
03:43:46,IST,451064,15981744,97.26,487256,9302324,10335564,31.12,9202676,5755852,3440
03:44:06,IST,394356,16038452,97.60,487272,9302812,10394056,31.30,9260124,5755736,3132
03:44:26,IST,371000,16061808,97.74,487288,9303056,10395256,31.30,9281908,5755988,3876
03:44:46,IST,324736,16108072,98.02,487296,9303704,10446220,31.46,9332152,5755048,3472
03:45:06,IST,288060,16144748,98.25,487304,9303892,10465704,31.51,9368744,5755336,2548
03:45:26,IST,295928,16136880,98.20,487308,9305340,10457428,31.49,9358268,5756448,4052
03:45:46,IST,286808,16146000,98.25,487316,9305632,10473460,31.54,9368728,5756656,2980
03:46:06,IST,258544,16174264,98.43,487332,9306196,10493292,31.60,9395132,5756816,1776
03:46:26,IST,258800,16174008,98.43,487348,9306592,10496824,31.61,9397872,5755628,3448
03:46:46,IST,270680,16162128,98.35,487360,9306944,10476512,31.55,9384196,5755560,2880
03:47:06,IST,227704,16205104,98.61,487372,9307284,10527648,31.70,9430732,5753328,1464
03:47:26,IST,214100,16218708,98.70,487376,9307852,10538912,31.73,9442320,5753452,3452
03:47:46,IST,181380,16251428,98.90,487384,9308108,10547888,31.76,9474668,5753304,2724
03:48:06,IST,180420,16252388,98.90,487400,9312532,10553340,31.78,9472104,5757324,3640
03:48:26,IST,167076,16265732,98.98,487412,9313152,10570300,31.83,9485668,5757504,3196
03:48:46,IST,153216,16279592,99.07,487420,9313468,10582400,31.87,9500292,5756528,2844
03:49:06,IST,150852,16281956,99.08,487432,9314820,10563360,31.81,9501588,5757104,3592
03:49:26,IST,150052,16282756,99.09,487440,9316348,10567380,31.82,9502988,5758232,3176
03:49:46,IST,143500,16289308,99.13,487448,9316544,10575248,31.84,9509360,5757784,2276
03:50:06,IST,144624,16288184,99.12,487464,9317000,10566656,31.82,9508160,5757828,3536
03:50:26,IST,135000,16297808,99.18,487472,9324644,10575576,31.84,9510232,5765204,2964
03:50:46,IST,111268,16321540,99.32,487476,9319876,10604180,31.93,9504916,5791944,1716
03:51:06,IST,113240,16319568,99.31,487480,9311624,10629524,32.01,9504292,5791292,3496
03:51:26,IST,113840,16318968,99.31,487488,9308340,10620104,31.98,9505100,5789948,2580
03:51:46,IST,118720,16314088,99.28,487496,9307336,10625872,32.00,9500852,5789120,3848
03:52:06,IST,107780,16325028,99.34,487508,9304896,10633604,32.02,9511468,5789200,3156
03:52:26,IST,106640,16326168,99.35,487512,9299824,10640944,32.04,9511360,5790196,2044
03:52:46,IST,124884,16307924,99.24,487516,9295316,10630956,32.01,9496504,5788104,3340
03:53:06,IST,109980,16322828,99.33,487544,9289448,10655428,32.08,9512460,5786196,2564
03:53:26,IST,149216,16283592,99.09,487556,9286924,10579684,31.86,9474432,5785564,3680
03:53:46,IST,949628,15483180,94.22,487556,9287512,9484992,28.56,8696832,5781292,2004
03:54:06,IST,1735932,14696876,89.44,487556,9287512,8413504,25.33,7931512,5778000,104
03:54:26,IST,2525464,13907344,84.63,487556,9287512,7337020,22.09,7160684,5775332,0
03:54:46,IST,3324188,13108620,79.77,487556,9287512,6236972,18.78,6384852,5772924,28
03:55:06,IST,3998728,12434080,75.67,487560,9287516,5318780,16.02,5727428,5772092,8
