TIME,IST,CPU,%user,%nice,%system,%iowait,%steal,%idle
03:25:00,IST,all,0.1,0,0.04,0,0,99.86
03:25:20,IST,all,0.03,0,0.04,0,0,99.93
03:25:40,IST,all,0.04,0,0.05,0,0,99.91
03:26:00,IST,all,0.1,0,0.04,0,0,99.86
03:26:20,IST,all,0.91,0,0.21,0.05,0,98.83
03:26:40,IST,all,61.38,0,2.08,0.04,0,36.5
03:27:00,IST,all,97.67,0,2.23,0.01,0,0.08
03:27:20,IST,all,98.04,0,1.94,0,0,0.02
03:27:40,IST,all,98.2,0,1.8,0,0,0
03:28:00,IST,all,98.22,0,1.77,0,0,0
03:28:20,IST,all,98.17,0,1.83,0,0,0
03:28:40,IST,all,98.17,0,1.82,0,0,0
03:29:00,IST,all,98.18,0,1.82,0,0,0
03:29:20,IST,all,98.22,0,1.78,0,0,0
03:29:40,IST,all,98.21,0,1.79,0,0,0
03:30:00,IST,all,98.19,0,1.81,0,0,0
03:30:20,IST,all,98.46,0,1.54,0,0,0
03:30:40,IST,all,98.29,0,1.71,0,0,0
03:31:00,IST,all,98.26,0,1.74,0,0,0
03:31:20,IST,all,98.28,0,1.72,0,0,0
03:31:40,IST,all,98.06,0,1.94,0,0,0
03:32:00,IST,all,98.29,0,1.71,0,0,0
03:32:20,IST,all,98.26,0,1.73,0,0,0.01
03:32:40,IST,all,98.08,0,1.91,0,0,0.01
03:33:00,IST,all,98.22,0,1.78,0,0,0
03:33:20,IST,all,98.16,0,1.83,0,0,0.01
03:33:40,IST,all,98.24,0,1.75,0,0,0.01
03:34:00,IST,all,98.16,0,1.83,0,0,0.01
03:34:20,IST,all,98.34,0,1.66,0,0,0
03:34:40,IST,all,98.24,0,1.75,0,0,0.01
03:35:00,IST,all,98.2,0,1.78,0,0,0.02
03:35:20,IST,all,98.14,0,1.86,0,0,0.01
03:35:40,IST,all,98.19,0,1.81,0,0,0.01
03:36:00,IST,all,98.16,0,1.84,0,0,0.01
03:36:20,IST,all,98.37,0,1.62,0,0,0.01
03:36:40,IST,all,98.24,0,1.75,0,0,0.01
03:37:00,IST,all,98.46,0,1.54,0,0,0.01
03:37:20,IST,all,98.21,0,1.78,0,0,0.01
03:37:40,IST,all,98.2,0,1.8,0,0,0
03:38:00,IST,all,98.19,0,1.79,0,0,0.02
03:38:20,IST,all,98.29,0,1.71,0,0,0.01
03:38:40,IST,all,98.27,0,1.72,0,0,0.01
03:39:00,IST,all,98.26,0,1.73,0,0,0.01
03:39:20,IST,all,98.01,0,1.99,0,0,0
03:39:40,IST,all,98.34,0,1.66,0,0,0
03:40:00,IST,all,98.21,0,1.79,0,0,0
03:40:20,IST,all,98.25,0,1.75,0,0,0
03:40:40,IST,all,98.19,0,1.81,0,0,0
03:41:00,IST,all,98.16,0,1.84,0,0,0
03:41:20,IST,all,97.26,0,1.77,0,0,0.97
03:41:40,IST,all,0.56,0,0.16,0.01,0,99.27
03:42:00,IST,all,0.18,0,0.09,0,0,99.74
03:42:20,IST,all,0.04,0,0.04,0,0,99.92
03:42:40,IST,all,0.05,0,0.02,0,0,99.93
