TIME,IST,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
03:25:00,IST,2107916,14324892,87.17,493624,11265752,5308124,15.98,6703024,6651452,36
03:25:20,IST,2107544,14325264,87.17,493624,11265752,5314388,16,6703052,6651440,56
03:25:40,IST,2108040,14324768,87.17,493624,11265752,5319392,16.02,6703052,6651440,36
03:26:00,IST,2107620,14325188,87.17,493624,11265752,5323740,16.03,6703556,6651440,32
03:26:20,IST,2136588,14296220,87,493628,11235636,5323116,16.03,6689580,6635024,6404
03:26:40,IST,1706596,14726212,89.61,493632,11236240,6003080,18.08,7109012,6635128,2140
03:27:00,IST,1136728,15296080,93.08,493652,11242160,6894636,20.76,7655580,6640576,2332
03:27:20,IST,780456,15652352,95.25,493668,11242920,7337996,22.1,8003924,6640792,3928
03:27:40,IST,722096,15710712,95.61,493680,11243508,7414740,22.33,8057324,6640956,3244
03:28:00,IST,654748,15778060,96.02,493688,11246028,7477856,22.52,8124608,6643016,2352
03:28:20,IST,573232,15859576,96.51,493708,11254708,7541204,22.71,8197668,6651184,3596
03:28:40,IST,514292,15918516,96.87,493724,11255216,7595148,22.87,8254804,6651272,2904
03:29:00,IST,450884,15981924,97.26,493728,11255680,7648036,23.03,8318924,6651224,1884
03:29:20,IST,414996,16017812,97.47,493732,11256180,7678244,23.12,8354384,6650832,3004
03:29:40,IST,379884,16052924,97.69,493744,11256544,7673740,23.11,8391596,6648288,2124
03:30:00,IST,353460,16079348,97.85,493756,11258108,7718856,23.24,8418340,6648108,3152
03:30:20,IST,312812,16119996,98.1,493768,11258536,7755152,23.35,8458016,6648140,2468
03:30:40,IST,313272,16119536,98.09,493776,11258944,7738788,23.3,8458004,6648268,1896
03:31:00,IST,281280,16151528,98.29,493784,11259364,7778580,23.42,8490592,6648032,2904
03:31:20,IST,277628,16155180,98.31,493784,11259768,7762312,23.37,8499636,6641548,2356
03:31:40,IST,253624,16179184,98.46,493800,11260452,7786820,23.45,8525504,6639544,1976
03:32:00,IST,241860,16190948,98.53,493816,11261852,7815724,23.53,8541280,6635148,2992
03:32:20,IST,227764,16205044,98.61,493828,11262228,7829072,23.57,8569260,6621728,2348
03:32:40,IST,214360,16218448,98.7,493844,11263772,7851336,23.64,8580644,6623104,1764
03:33:00,IST,207164,16225644,98.74,493856,11264200,7838856,23.6,8593352,6617092,3048
03:33:20,IST,202268,16230540,98.77,493860,11264556,7835180,23.59,8599664,6616248,2500
03:33:40,IST,175944,16256864,98.93,493864,11265996,7849048,23.63,8625472,6616552,3544
03:34:00,IST,163448,16269360,99.01,493872,11266680,7862140,23.67,8639120,6616336,2808
03:34:20,IST,161380,16271428,99.02,493884,11267068,7865384,23.68,8640984,6615624,2220
03:34:40,IST,157528,16275280,99.04,493904,11267356,7871852,23.7,8646360,6615696,3240
03:35:00,IST,156128,16276680,99.05,493928,11271776,7862696,23.68,8644184,6617956,2452
03:35:20,IST,144632,16288176,99.12,493936,11272512,7863268,23.68,8658904,6615824,2620
03:35:40,IST,148696,16284112,99.1,493948,11272812,7842808,23.62,8655072,6614552,3032
03:36:00,IST,134104,16298704,99.18,493960,11274436,7853464,23.65,8668340,6615660,2764
03:36:20,IST,133744,16299064,99.19,493960,11276636,7872760,23.71,8666424,6617500,1716
03:36:40,IST,141672,16291136,99.14,493980,11278332,7871632,23.7,8662376,6618344,2692
03:37:00,IST,123172,16309636,99.25,493984,11279704,7873704,23.71,8679056,6618940,1940
03:37:20,IST,125164,16307644,99.24,493988,11281280,7871028,23.7,8676620,6620192,3012
03:37:40,IST,123572,16309236,99.25,493996,11282688,7883528,23.74,8673736,6621356,2644
03:38:00,IST,125096,16307712,99.24,494012,11283128,7861220,23.67,8673688,6619728,11688
03:38:20,IST,126704,16306104,99.23,494016,11283696,7873080,23.71,8675916,6619828,12772
03:38:40,IST,119916,16312892,99.27,494032,11284024,7861304,23.67,8680732,6618944,2468
03:39:00,IST,116604,16316204,99.29,494044,11284448,7867144,23.69,8682572,6619120,1804
03:39:20,IST,106732,16326076,99.35,494048,11284964,7871748,23.7,8697472,6614812,3152
03:39:40,IST,115656,16317152,99.3,494056,11277012,7881416,23.73,8682972,6618520,2132
03:40:00,IST,119512,16313296,99.27,494068,11277604,7882580,23.74,8683968,6618620,3368
03:40:20,IST,120764,16312044,99.27,494072,11269964,7889944,23.76,8687404,6611944,3072
03:40:40,IST,121844,16310964,99.26,494088,11271352,7880820,23.73,8686156,6611684,1756
03:41:00,IST,118636,16314172,99.28,494100,11272812,7885672,23.74,8687340,6612676,2932
03:41:20,IST,202360,16230448,98.77,494112,11274484,7749864,23.34,8604488,6613964,2720
03:41:40,IST,988888,15443920,93.98,494112,11274552,6672652,20.09,7834836,6612568,2320
03:42:00,IST,1791248,14641560,89.1,494112,11274552,5564080,16.75,7051492,6611640,356
03:42:20,IST,1989892,14442916,87.89,494112,11274552,5290248,15.93,6859032,6611440,24
03:42:40,IST,1990492,14442316,87.89,494112,11274556,5287960,15.92,6858544,6611440,16
